station_id,question_text,choices,correct_answer,points,time_limit_sec
X1,47 + 58 = ?,,105,1,300
X1,6 × 9 = ?,,54,1,300
X1,123 + 87 = ?,,210,1,300
X1,12 × 8 = ?,,96,1,300
X1,245 + 179 = ?,,424,1,300
X1,35 + 49 = ?,,84,1,300
X1,15 × 7 = ?,,105,1,300
X1,189 + 64 = ?,,253,1,300
X1,14 × 6 = ?,,84,1,300
X1,312 + 198 = ?,,510,1,300
X1,34 × 12 = ?,,408,1,300
X1,256 + 489 = ?,,745,1,300
X1,45 × 23 = ?,,1035,1,300
X1,678 + 345 = ?,,1023,1,300
X1,27 × 34 = ?,,918,1,300
X1,(15 × 8) + 40 = ?,,160,1,300
X1,234 × 12 = ?,,2808,1,300
X1,456 + 789 + 123 = ?,,1368,1,300
X1,67 × 45 = ?,,3015,1,300
X1,(250 + 150) × 2 = ?,,800,1,300
